Classification,Issue/Component,Description,Evidence Reference,Plausible Alternative,Verdict Direction,Source
Actual Defect,Schema Composition / Brand Observation,"A lone unclassified brand candidate violates the shared ambiguity schema. selectBrandObservation returns AMBIGUOUS for single results, which the schema rejects, causing INVALID_RESPONSE instead of usable uncertainty.","1, 2","Use distinct state (UNCLASSIFIED), allow AMBIGUOUS with zero alternates, return LOW_CONFIDENCE, or fix selector/schema contradiction before measurement.","HARDEN the schema composition, KEEP the evidence/rule boundary; Fix required.","1, 2"
Actual missing integration regression,Test Design,High test count (618) lacks composition tests to catch cross-layer failures; architecture tests rely on static searches.,1,"Add contract tests at production boundaries, run synthetic cases through analyzer, or use dependency-graph enforcement.",HARDEN test composition; KEEP current breadth for regression protection.,1
Documentation Mismatch,PR #41 / #42 / Remaining Work Plan,"Circular dependencies exist in the plan (issues #6, #16, #39, #40) if treated as indivisible gates. Additionally, PR body claims 10 domain-only synthetic cases, while the merged index contains 11.","1, 2","Use a directed acyclic graph (DAG) of deliverables, vertical per-field slices, or explicit partial-order milestones. Correct documentation to match code reality.",KEEP evidence-before-expansion; HARDEN the dependency model; Refine plan; Minor correction.,"1, 2"
Documentation Mismatch,Parallel Lanes / Governing Documents,Governance lane is not executable as written; Design Review Checklist and Operator Trust Policy are truncated. Truncated issues and broken links make documentation an active prerequisite.,"1, 2","Replace broken policy content, add parallel truncation checks, and prioritize documentation integrity (#28) before or alongside policy replacement (#27).",REVISIT strict lane ordering; keep lanes conceptually separate; Remediate integrity.,"1, 2"
Documentation Mismatch,ADR 0009,Implementation excludes timing and government-warning execution required by ADR 0009; ADR remains historically stale.,2,Amend ADR 0009 to reflect Slice 3 reality.,Update documentation,2
Documentation-precision concern,Six-rule profile,"Calling it a 'six-rule profile' may imply broader automation than current evidence supports, as half the profile cannot execute.",1,Split profile into executable vs. dependency checks or publish executable-coverage counts.,KEEP the explicit not-run model; HARDEN profile descriptions.,1
Accepted prototype limitation,Resource Limits / OCR Worker,"Expensive Tesseract worker creation per request lacks queueing, timeouts, or concurrency control required for deployment. Tesseract reproducibility across platforms is unproven.","1, 2","Implement worker pooling, containerize OCR runtime, use bounded timeouts, or add tolerance rules when actual-content evidence exists.",KEEP local-only OCR baseline; HARDEN before public upload deployment; Deferred to operational scaling.,"1, 2"
Accepted prototype limitation,Append-only Disposition / Tokens,Lack of server-side persistence allows histories to be forked. Tokens are reusable bearer capabilities that fail after server restart and lack global serialization/authenticated identity.,"1, 2","Label as 'portable operator record', add server persistence (#17), or implement globally serialized audit logs.",KEEP the prototype separation; HARDEN language; REVISIT replay semantics; Accepted for current slice.,"1, 2"
Accepted prototype limitation,Fixture Corpus Representativeness,Only one real label demonstrates OCR behavior; the corpus cannot yet estimate general accuracy or platform variation.,2,Increase diversity of independently sourced real labels.,Expand corpus,2
Accepted precision-over-recall limitation,Brand Ambiguity,Conservative selector favors ambiguity over false observations for brand candidates without specific designator signals.,1,"Measure false-observed burden, add local brand-region classifier later, or require explicit operator confirmation.",KEEP conservative uncertainty; HARDEN the state model; REVISIT positive-signal vocabulary.,1
Accepted prototype limitation,Evidence-only Extraction,Independent status model prevents false passes but lacks corpus-wide distribution data and may cause operator friction.,1,Keep independent statuses but add a bounded reason vocabulary and measure correction time in issue #38.,KEEP the boundary; HARDEN reason semantics and measurement.,1
Accepted gap / Provenance concern,Unavailable/Low-res Fixtures,Unavailable entries provide no executable behavior; low-res derivative lacks precise parent-child schema representation.,1,"Move unavailable records to acquisition backlog, report executable counts separately, or extend manifest parent model.",KEEP gap recording; REVISIT measurement inclusion; HARDEN execution and parent semantics.,1
Correct architecture / Governance hardening,Security (HMAC/JSON Checksum),Mechanisms for machine identity and authorization are distinct but prone to misunderstanding by operators.,1,"Persist server-issued records, use signed compact envelopes, or keep deterministic HMAC with explicit documentation.",KEEP the three distinctions; HARDEN with an ADR and key-id plan.,1
Premature-abstraction risk,Corpus Index v1,Large contract relative to the empirical base (one real label) may encode implementation assumptions too early.,1,"Keep v1 experimental, separate immutable metadata from evaluation scenarios, or use smaller per-fixture files.",KEEP a versioned catalogue; REVISIT expectation shape after first harness.,1
Documentation mismatch / Evidence limitation,Synthetic Cases,Synthetic cases bypass OCR/image processing; author-stated count in PR (10) differs from merged index (11).,1,"Separate synthetic cases from accuracy metrics, render synthetic images for OCR path, or prioritize public artwork.",KEEP synthetic cases; HARDEN category labeling.,1
Future governance concern,Privacy Screening,Regex-based screening cannot prove pixels exclude all personal data; over-cropping risks making benchmarks unrealistic.,1,"Adopt two-person approval checklist, define allowed business content explicitly, and obtain legal confirmation.",KEEP privacy-first inclusion; HARDEN approval evidence and policy.,1
Future measurement / Accessibility concern,UI / Accessibility,Sound semantics but lacks automated accessibility audits (axe) and measurement of operator friction due to ambiguity.,1,"Add automated scanning, conduct moderated operator walkthroughs, or begin local friction metrics.",KEEP UI semantics; HARDEN accessibility and operator-friction evidence.,1